backdrop_path,belongs_to_collection,budget,genres,homepage,id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,genre_count
/u5NWHVhZ6HWc1fXnqn82cMar5St.jpg,,10000000,['Drama'],https://www.netflix.com/title/82020378,1241983,['US'],en,Train Dreams,A logger leads a life of quiet grace as he experiences love and loss during an era of monumental change in early 20th-century America.,67.8597,/l3zS4YnpOi4usyEXGJMtxSqDDyb.jpg,"['Kamala Films', 'Black Bear Pictures']",2025-11-05,0,102,Released,,Train Dreams,7.327,168,1
/4FzoxZAJnhpoeYHexQCHorsWLxB.jpg,,0,"['Romance', 'Comedy']",https://www.netflix.com/title/81628146,1323475,['US'],en,Champagne Problems,A driven American exec heads to Paris determined to acquire a champagne brand by Christmas — and accidentally falls for the heir to the bubbly empire.,26.7417,/a66w2eVNFHMgevJlw0d6f4TTrrD.jpg,"['Off Camera Entertainment', 'Grumpy Entertainment', 'FullDawa Films']",2025-11-18,0,99,Released,Christmas in France is always a good idea.,Champagne Problems,6.074,74,2
/7BzlM1VAL4lSoX93KmL9JKk8Vnc.jpg,,0,"['Documentary', 'Crime']",https://www.netflix.com/title/81664825,1363282,['US'],en,The Carman Family Deaths,A young man's dramatic rescue at sea spirals into accusations he murdered two members of his wealthy New England family.,11.0881,/yFc6F5PmAIdqpAU9wReCqLHWwMm.jpg,"['WIRED Studios', 'Loki Films']",2025-11-18,0,91,Released,,The Carman Family Deaths,6.6,19,2
/c15Fg4jvclF5VjxCi1mtjUg4a6H.jpg,,0,"['Comedy', 'Drama', 'History']",https://www.netflix.com/title/82073579,1254808,['FR'],fr,Nouvelle Vague,"After writing for Cahiers du cinéma, a young Jean-Luc Godard decides making films is the best film criticism. He convinces producer Georges de Beauregard to fund a low-budget feature, and creates a treatment with fellow New Wave filmmaker François Truffaut about a gangster couple. The result? Breathless, one of the first features of the Nouvelle Vague era of French cinema.",7.2882,/mNcqF4IBrIV7zitgwM6EnpPRzli.jpg,"['ARP Sélection', 'Detour Filmproduction']",2025-10-08,0,106,Released,Everyone loves the new wave.,Nouvelle Vague,7.5,49,3
/hRrOKs3bdxNvS78oFn99hQfVd5Y.jpg,,0,['Drama'],https://www.netflix.com/title/81739139,1299209,['BR'],pt,O Filho de Mil Homens,"In a small village, a lonely fisherman yearning for a son is drawn to an ethereal light that links him to others and their long-buried secrets.",16.6323,/ze9sz0S1eto58QRiaA2FcIEjnIi.jpg,"['Biônica Filmes', 'Barry Company']",2025-10-30,0,126,Released,,The Son of a Thousand Men,7.375,20,1
/wOXCi4Kp3c2YkvPPIonTlsjkMfP.jpg,,0,"['Documentary', 'Music']",https://www.netflix.com/title/82028788,1400784,['US'],en,Selena y Los Dinos: A Family's Legacy,Never-before-seen footage and intimate interviews celebrate the life and legacy of iconic Mexican American singer Selena Quintanilla and her family band.,10.0698,/9dNDTnc2KsX7g73V5l1D0YCAQqa.jpg,['Motto Pictures'],2025-01-26,0,117,Released,,Selena y Los Dinos: A Family's Legacy,9.4,16,2
/xqft4oJyMATznCFFLpTlQPiSr8N.jpg,,0,['Drama'],https://www.netflix.com/title/83077166,999075,['FR'],zh,左撇子女孩,"A mother and her two daughters move to Taipei to open a noodle stand at a vibrant night market, but family secrets and tradition test their fresh start.",19.8029,/hfuxIKRCNsecLmoDdO0HJ1YUvv1.jpg,"['LHG Films', 'Le Pacte', 'Cinema Inutile', 'Filmic', 'Through the Lens Entertainment', 'Good Chaos', 'Left-Handed Girl Film Productions']",2025-09-17,0,109,Released,,Left-Handed Girl,7.647,34,1
/hpXBJxLD2SEf8l2CspmSeiHrBKX.jpg,,120000000,"['Drama', 'Fantasy', 'Horror']",https://www.frankensteingdt.com,1062722,['US'],en,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",192.548,/g4JtvGlQO7DByTI6frUobqvSL3R.jpg,"['Double Dare You', 'Demilo Films', 'Bluegrass 7']",2025-10-17,480678,150,Released,Only monsters play God.,Frankenstein,7.774,1977,3
/zav0v7gLWMu6pVwgsIAwt11GJ4C.jpg,"{'id': 1565, 'name': '28 Days/Weeks/Years Later Collection', 'poster_path': '/2DMKMinwjGb45rC2nA4nr1JsT37.jpg', 'backdrop_path': '/liImaqVpPGo3ddLWkJPeJxvaqCI.jpg'}",60000000,"['Horror', 'Thriller', 'Science Fiction']",https://28yearslater.movie,1100988,['GB'],en,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",16.0902,/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,"['Columbia Pictures', 'DNA Films', 'Decibel Films', 'TSG Entertainment']",2025-06-18,151289671,115,Released,In 28 days it began. In 28 weeks it spread. In 28 years it evolved.,28 Years Later,6.671,1733,3
/pUbtZzMm1G2j1pfWn1V6StdTCmU.jpg,"{'id': 722971, 'name': 'Knives Out Collection', 'poster_path': '/hAEATQo1enoasXMuSbeqw67E7N2.jpg', 'backdrop_path': '/G7qYINSq5xyDd0I0zn3DpAssA0.jpg'}",40000000,"['Comedy', 'Crime', 'Mystery']",https://glassonionmovie.com,661374,['US'],en,Glass Onion: A Knives Out Mystery,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,7.924,/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg,['T-Street'],2022-11-23,15000000,140,Released,"When the game ends, the mystery begins.",Glass Onion: A Knives Out Mystery,7.039,6209,3
